"workerid","proliferate.condition","age","asses","color","comments","education","enjoyment","gender","language","error","speaker_cond"
1261,"list3",36,"Yes","No","",3,1,"Male","Hispanic",NA,"batch1"
1600,"list3",27,"Yes","No","",4,2,"Female","English",NA,"batch1"
1446,"list3",23,"Yes","No","",3,1,"Female","English",NA,"batch1"
1576,"list3",50,"Yes","No","There was an error in the URL for the experiment (you have gisthub.io instead of github.io)",2,2,"Male","English",NA,"batch1"
1570,"list3",34,"Yes","No","",1,2,"Male","english",NA,"batch1"
1465,"list3",28,"Yes","No","",3,2,"Female","English",NA,"batch1"
1173,"list3",25,"Yes","No","",2,1,"Female","English",NA,"batch1"
1425,"list3",36,"Yes","No","",2,1,"Male","English",NA,"batch1"
1162,"list6",31,"Yes","No","No comments",2,1,"Male","English",NA,"batch1"
1131,"list6",20,"Yes","No","n/a",2,1,"Female","English",NA,"batch1"
1569,"list6",41,"Yes","No","I do not have any additional comments at this time. Thank you.",2,1,"Male","english",NA,"batch1"
1148,"list6",49,"Yes","No","",4,2,"Female","English",NA,"batch1"
1416,"list6",26,"Yes","No","",1,2,"Male","English",NA,"batch1"
1599,"list6",24,"Yes","No","",1,2,"Female","English",NA,"batch1"
1522,"list6",37,"Yes","No","",3,1,"Female","Spanish",NA,"batch1"
1236,"list6",40,"Yes","No","",1,2,"Male","English",NA,"batch1"
1311,"list6",33,"Yes","No","",1,2,"Female","English",NA,"batch1"
1405,"list6",42,"Yes","No","",3,2,"Female","english",NA,"batch1"
1211,"list6",42,"Confused","No","",3,1,"Male","English",NA,"batch1"
1203,"list6",57,"Yes","No","none",4,2,"Male","english",NA,"batch1"
1178,"list6",22,"Yes","No","",1,1,"Male","English",NA,"batch1"
1397,"list6",53,"Yes","No","I don't think the questions were clear...it was difficult to tell if objects were metal or wood and what exactly is clear?   you could still see through the lightly colored glass items.",3,0,"Female","English",NA,"batch1"
1540,"list6",40,"Yes","No","it was interesting",3,1,"Male","english",NA,"batch1"
1343,"list6",33,"Yes","No","",3,2,"Male","English",NA,"batch1"
1302,"list6",45,"Yes","No","",2,2,"Female","English",NA,"batch1"
1601,"list6",31,"Yes","No","Was fun.  There was definietly one or two that I hit the wrong button for (i.e. meant to answer ye but hit no).  ",3,1,"Female","English",NA,"batch1"
1514,"list6",22,"Yes","No","I know I definitely got a few answers wrong, but this was nonetheless an engaging experience.",3,2,"Female","English",NA,"batch1"
1549,"list6",32,"No","No","",3,0,"Male","English",NA,"batch1"
1598,"list6",55,"Yes","No","",2,2,"Male","english",NA,"batch1"
1194,"list6",21,"Yes","No","",1,2,"Female","english",NA,"batch1"
1331,"list6",31,"Yes","No","Thank you for the opportunity to participate in this study!",3,1,"Male","English",NA,"batch1"
1154,"list6",21,"Yes","No","Great survey",2,1,"Male","English",NA,"batch1"
1251,"list6",20,"Yes","No","Very fun and interesting expeiremnt",0,1,"Female","English",NA,"batch1"
1372,"list6",24,"Yes","No","",1,2,"Male","English",NA,"batch1"
1424,"list6",23,"Yes","No","",3,1,"Male","English",NA,"batch1"
1170,"list6",23,"Yes","No","n/a",2,2,"Female","English",NA,"batch1"
1408,"list6",42,"Yes","No","na",1,2,"Male","English",NA,"batch1"
1475,"list6",34,"No","Yes","n/a",3,2,"Male","english",NA,"batch1"
1286,"list6",24,"Yes","No","",3,2,"Female","english",NA,"batch1"
1268,"list6",25,"Yes","No","",4,1,"Female","English",NA,"batch1"
1603,"list6",18,"Yes","No","",-1,2,"Female","English",NA,"batch1"
1467,"list6",58,"Yes","No","Just that it was harder than I thought it would be.",3,2,"Female","English",NA,"batch1"
1140,"list6",30,"Yes","No","",4,2,"Female","English",NA,"batch1"
1293,"list6",20,"Yes","No","",2,2,"Male","English",NA,"batch1"
1226,"list6",34,"Yes","No","",4,1,"Male","English",NA,"batch1"
1318,"list6",22,"Yes","Yes","",3,2,"Female","english",NA,"batch1"
1494,"list6",51,"Yes","No","no. plenty thanks",2,2,"Male","english",NA,"batch1"
1276,"list6",47,"Yes","No","",3,1,"Male","English",NA,"batch1"
1485,"list6",19,"Yes","No","",2,2,"Female","English",NA,"batch1"
1602,"list6",22,"Yes","No","",3,2,"Male","English",NA,"batch1"
1444,"list6",30,"No","No","",3,2,"Male","English",NA,"batch1"
1581,"list6",29,"Yes","No","",1,2,"Male","English",NA,"batch1"
1242,"list6",35,"Yes","No","None",3,2,"Female","English",NA,"batch1"
1121,"list6",25,"Yes","No","",3,2,"Female","English",NA,"batch1"
1334,"list6",26,"Yes","Yes","",1,2,"Male","english",NA,"batch1"
1186,"list6",36,"Yes","No","",4,2,"Male","English",NA,"batch1"
1455,"list6",29,"Yes","No","",3,1,"Female","English",NA,"batch1"
1579,"list6",22,"Yes","No","Some of the questions regarding ""wooden"" or ""plastic"" were hard to tell just by looking. I got a few wrong simply because I couldn't tell by looking at the picture. ",2,0,"Female","English",NA,"batch1"
1362,"list6",39,"Yes","No","",2,2,"Male","English",NA,"batch1"
1352,"list6",23,"Yes","No","",2,1,"Male","English",NA,"batch1"
1218,"list6",32,"Yes","No","It was a fun experiment. Thank you for creating it and I hope your data goes well",4,2,"Male","English",NA,"batch1"
3308,"list3",39,"No","Yes",NA,4,1,"Male","ENglish",NA,"batch2"
3314,"list3",19,"Yes","No",NA,2,0,"Female","english",NA,"batch2"
3310,"list3",21,"Yes","No",NA,3,1,"Female","English",NA,"batch2"
3319,"list3",53,"Yes","No",NA,1,1,"Female","english",NA,"batch2"
3318,"list3",28,"Yes","No",NA,3,1,"Male","english",NA,"batch2"
3311,"list3",37,"Yes","No",NA,4,1,"Female","English",NA,"batch2"
3317,"list3",19,"No","No",NA,1,2,"Female","English",NA,"batch2"
3320,"list3",31,"Yes","No",NA,2,1,"Male","English",NA,"batch2"
3316,"list3",27,"Yes","No",NA,3,1,"Female","English",NA,"batch2"
3315,"list3",55,"Yes","No",NA,3,2,"Female","English",NA,"batch2"
3313,"list3",32,"Yes","No",NA,3,1,"Male","English",NA,"batch2"
3312,"list3",33,"Yes","No",NA,2,1,"Female","English",NA,"batch2"
3309,"list3",26,"Yes","No",NA,2,1,"Female","English",NA,"batch2"
